data_pas;focos
2020-02-08;1512
2020-02-09;806
2020-02-10;973
2020-02-11;1338
2020-02-12;712
2020-02-13;845
2020-02-14;1723
2020-02-15;1384
2020-02-16;1893
2020-02-17;1545
2020-02-18;1658
2020-02-19;1221
2020-02-20;998
2020-02-21;913
2020-02-22;1006
2020-02-23;581
2020-02-24;475
2020-02-25;666
2020-02-26;819
2020-02-27;1146
2020-02-28;1442
2020-02-29;1070
2020-03-01;1842
2020-03-02;1728
2020-03-03;1548
2020-03-04;1594
2020-03-05;2340
2020-03-06;2590
2020-03-07;2541
2020-03-08;2182
2020-03-09;2242
2020-03-10;3977
2020-03-11;4783
2020-03-12;4394
2020-03-13;2971
2020-03-14;2885
2020-03-15;1756
2020-03-16;1369
2020-03-17;1830
2020-03-18;1559
2020-03-19;1721
2020-03-20;584
2020-03-21;825
2020-03-22;1446
2020-03-23;1527
2020-03-24;2105
2020-03-25;2478
2020-03-26;2841
2020-03-27;2049
2020-03-28;1143
2020-03-29;782
2020-03-30;1100
2020-03-31;1637
2020-04-01;1479
2020-04-02;1276
2020-04-03;1663
2020-04-04;2673
2020-04-05;2266
2020-04-06;1470
2020-04-07;636
2020-04-08;949
2020-04-09;1096
2020-04-10;1081
2020-04-11;1668
2020-04-12;1528
2020-04-13;1890
2020-04-14;1024
2020-04-15;915
2020-04-16;1608
2020-04-17;1725
2020-04-18;2315
2020-04-19;1514
2020-04-20;1806
2020-04-21;2195
2020-04-22;2130
2020-04-23;2486
2020-04-24;2977
2020-04-25;3178
2020-04-26;1671
2020-04-27;1943
2020-04-28;3628
2020-04-29;3321
2020-04-30;2993
2020-05-01;3400
2020-05-02;2865
2020-05-03;2355
2020-05-04;2648
2020-05-05;1941
2020-05-06;783
2020-05-07;658
2020-05-08;1200
2020-05-09;1505
2020-05-10;1501
2020-05-11;2322
2020-05-12;2079
2020-05-13;1789
2020-05-14;1293
2020-05-15;1040
2020-05-16;1472
2020-05-17;1091
2020-05-18;1966
2020-05-19;1997
2020-05-20;2814
2020-05-21;2527
2020-05-22;1918
2020-05-23;1326
2020-05-24;908
2020-05-25;1185
2020-05-26;2199
2020-05-27;3389
2020-05-28;3663
2020-05-29;3471
2020-05-30;3522
2020-05-31;2715
2020-06-01;2480
2020-06-02;2942
2020-06-03;3127
2020-06-04;3035
2020-06-05;2590
2020-06-06;2734
2020-06-07;2401
2020-06-08;2626
2020-06-09;4016
2020-06-10;3490
2020-06-11;4190
2020-06-12;4638
2020-06-13;4265
2020-06-14;3410
2020-06-15;3432
2020-06-16;4538
2020-06-17;4775
2020-06-18;6201
2020-06-19;5122
2020-06-20;6422
2020-06-21;6342
2020-06-22;6210
2020-06-23;6296
2020-06-24;6417
2020-06-25;6202
2020-06-26;4328
2020-06-27;4890
2020-06-28;4753
2020-06-29;5382
2020-06-30;5852
2020-07-01;5224
2020-07-02;4663
2020-07-03;4447
2020-07-04;6285
2020-07-05;4670
2020-07-06;3879
2020-07-07;5564
2020-07-08;5827
2020-07-09;5754
2020-07-10;5587
2020-07-11;4641
2020-07-12;4830
2020-07-13;5073
2020-07-14;6285
2020-07-15;8096
2020-07-16;8505
2020-07-17;9752
2020-07-18;11048
2020-07-19;9590
2020-07-20;11173
2020-07-21;11690
2020-07-22;11810
2020-07-23;15548
2020-07-24;13931
2020-07-25;17103
2020-07-26;13273
2020-07-27;15628
2020-07-28;12799
2020-07-29;17046
2020-07-30;21180
2020-07-31;24881
2020-08-01;27561
2020-08-02;28639
2020-08-03;25091
2020-08-04;28539
2020-08-05;32457
2020-08-06;37913
2020-08-07;42709
2020-08-08;41010
2020-08-09;35330
2020-08-10;44805
2020-08-11;34859
2020-08-12;31460
2020-08-13;32579
2020-08-14;36626
2020-08-15;44721
2020-08-16;36755
2020-08-17;41874
2020-08-18;47134
2020-08-19;57528
2020-08-20;41667
2020-08-21;26471
2020-08-22;25465
2020-08-23;24486
2020-08-24;24860
2020-08-25;23786
2020-08-26;29488
2020-08-27;32535
2020-08-28;36407
2020-08-29;42983
2020-08-30;46818
2020-08-31;46066
2020-09-01;49948
2020-09-02;59392
2020-09-03;57280
2020-09-04;49773
2020-09-05;79910
2020-09-06;75717
2020-09-07;76031
2020-09-08;80966
2020-09-09;73402
2020-09-10;64454
2020-09-11;77660
2020-09-12;84533
2020-09-13;109133
2020-09-14;95548
2020-09-15;68322
2020-09-16;84150
2020-09-17;59439
2020-09-18;49064
2020-09-19;43470
2020-09-20;31338
2020-09-21;18220
2020-09-22;15679
2020-09-23;20531
2020-09-24;27727
2020-09-25;27922
2020-09-26;29383
2020-09-27;44758
2020-09-28;48447
2020-09-29;56256
2020-09-30;59045
2020-10-01;67857
2020-10-02;66072
2020-10-03;60893
2020-10-04;56991
2020-10-05;56827
2020-10-06;49395
2020-10-07;52359
2020-10-08;64637
2020-10-09;60816
2020-10-10;59671
2020-10-11;34380
2020-10-12;23065
2020-10-13;34130
2020-10-14;34994
2020-10-15;35264
2020-10-16;33444
2020-10-17;38700
2020-10-18;33177
2020-10-19;21350
2020-10-20;28481
2020-10-21;37080
2020-10-22;26356
2020-10-23;21483
2020-10-24;18409
2020-10-25;18229
2020-10-26;21474
2020-10-27;11711
2020-10-28;15719
2020-10-29;22481
2020-10-30;17095
2020-10-31;23897
2020-11-01;21179
2020-11-02;16087
2020-11-03;10018
2020-11-04;14934
2020-11-05;15338
2020-11-06;14674
2020-11-07;14586
2020-11-08;14889
2020-11-09;14659
2020-11-10;12706
2020-11-11;18509
2020-11-12;15166
2020-11-13;15866
2020-11-14;15360
2020-11-15;8688
2020-11-16;10624
2020-11-17;15252
2020-11-18;14917
2020-11-19;3885
2020-11-20;4209
2020-11-21;7603
2020-11-22;6168
2020-11-23;6452
2020-11-24;10255
2020-11-25;11982
2020-11-26;10930
2020-11-27;8651
2020-11-28;12094
2020-11-29;10875
2020-11-30;8717
2020-12-01;11422
2020-12-02;13720
2020-12-03;12023
2020-12-04;11456
2020-12-05;11614
2020-12-06;5910
2020-12-07;3957
2020-12-08;4164
2020-12-09;4137
2020-12-10;3639
2020-12-11;8774
2020-12-12;7155
2020-12-13;4415
2020-12-14;4088
2020-12-15;4812
2020-12-16;3775
2020-12-17;5181
2020-12-18;5330
2020-12-19;4975
2020-12-20;3369
2020-12-21;4821
2020-12-22;3451
2020-12-23;2371
2020-12-24;1683
2020-12-25;695
2020-12-26;1817
2020-12-27;1955
2020-12-28;3294
2020-12-29;4660
2020-12-30;3171
2020-12-31;2106
2021-01-01;1463
2021-01-02;2352
2021-01-03;1578
2021-01-04;1386
2021-01-05;1930
2021-01-06;3087
2021-01-07;3984
2021-01-08;3568
2021-01-09;2926
2021-01-10;1103
2021-01-11;1363
2021-01-12;1511
2021-01-13;831
2021-01-14;1177
2021-01-15;1069
2021-01-16;1544
2021-01-17;1061
2021-01-18;1134
2021-01-19;1139
2021-01-20;1089
2021-01-21;1012
2021-01-22;1025
2021-01-23;1034
2021-01-24;1094
2021-01-25;1548
2021-01-26;1427
2021-01-27;1246
2021-01-28;1597
2021-01-29;1399
2021-01-30;1719
2021-01-31;1276
2021-02-01;1463
2021-02-02;2285
2021-02-03;2829
2021-02-04;2554
2021-02-05;2481
2021-02-06;2955
2021-02-07;1739
2021-02-08;2274
2021-02-09;1548
2021-02-10;1247
2021-02-11;1132
2021-02-12;826
2021-02-13;747
2021-02-14;738
2021-02-15;815
2021-02-16;619
2021-02-17;933
2021-02-18;1428
2021-02-19;2196
2021-02-20;1455
2021-02-21;1257
2021-02-22;2051
2021-02-23;2182
2021-02-24;1657
2021-02-25;1172
2021-02-26;963
2021-02-27;747
2021-02-28;615
2021-03-01;513
2021-03-02;752
2021-03-03;782
2021-03-04;1153
2021-03-05;1338
2021-03-06;1314
2021-03-07;1172
2021-03-08;1421
2021-03-09;1757
2021-03-10;1905
2021-03-11;1893
2021-03-12;2000
2021-03-13;1248
2021-03-14;846
2021-03-15;1446
2021-03-16;2007
2021-03-17;1333
2021-03-18;1075
2021-03-19;1005
2021-03-20;1765
2021-03-21;1429
2021-03-22;1482
2021-03-23;1161
2021-03-24;1870
2021-03-25;1652
2021-03-26;2009
2021-03-27;1943
2021-03-28;1806
2021-03-29;1597
2021-03-30;2284
2021-03-31;2607
2021-04-01;1789
2021-04-02;790
2021-04-03;1710
2021-04-04;794
2021-04-05;1056
2021-04-06;823
2021-04-07;1189
2021-04-08;1522
2021-04-09;1705
2021-04-10;1664
2021-04-11;1085
2021-04-12;1583
2021-04-13;2120
2021-04-14;2075
2021-04-15;1400
2021-04-16;2192
2021-04-17;1146
2021-04-18;629
2021-04-19;805
2021-04-20;1000
2021-04-21;1554
2021-04-22;2116
2021-04-23;2171
2021-04-24;1393
2021-04-25;772
2021-04-26;1005
2021-04-27;1608
2021-04-28;1881
2021-04-29;1417
2021-04-30;1639
2021-05-01;1419
2021-05-02;1013
2021-05-03;2408
2021-05-04;2751
2021-05-05;2782
2021-05-06;2211
2021-05-07;1782
2021-05-08;1877
2021-05-09;1635
2021-05-10;2335
2021-05-11;3442
2021-05-12;3066
2021-05-13;3784
2021-05-14;2609
2021-05-15;2438
2021-05-16;1588
2021-05-17;2167
2021-05-18;3490
2021-05-19;5387
2021-05-20;6630
2021-05-21;5348
2021-05-22;2795
2021-05-23;2025
2021-05-24;3670
2021-05-25;5366
2021-05-26;5771
2021-05-27;7056
2021-05-28;5182
2021-05-29;5570
2021-05-30;4266
2021-05-31;3626
2021-06-01;6117
2021-06-02;5642
2021-06-03;5634
2021-06-04;5036
2021-06-05;4943
2021-06-06;2702
2021-06-07;3675
2021-06-08;4064
2021-06-09;3558
2021-06-10;4601
2021-06-11;3582
2021-06-12;3619
2021-06-13;2822
2021-06-14;3275
2021-06-15;4515
2021-06-16;5768
2021-06-17;5995
2021-06-18;6492
2021-06-19;5865
2021-06-20;4211
2021-06-21;6055
2021-06-22;7023
2021-06-23;8271
2021-06-24;7661
2021-06-25;7520
2021-06-26;9076
2021-06-27;7090
2021-06-28;6880
2021-06-29;8406
2021-06-30;11777
2021-07-01;8816
2021-07-02;4952
2021-07-03;4799
2021-07-04;4361
2021-07-05;5183
2021-07-06;5922
2021-07-07;7567
2021-07-08;7682
2021-07-09;7752
2021-07-10;8518
2021-07-11;7728
2021-07-12;9497
2021-07-13;9837
2021-07-14;11039
2021-07-15;7799
2021-07-16;8609
2021-07-17;7261
2021-07-18;8226
2021-07-19;10533
2021-07-20;10041
2021-07-21;10446
2021-07-22;13281
2021-07-23;16335
2021-07-24;15397
2021-07-25;13810
2021-07-26;13030
2021-07-27;15013
2021-07-28;15218
2021-07-29;20481
2021-07-30;19502
2021-07-31;19814
2021-08-01;20590
2021-08-02;25646
2021-08-03;23672
2021-08-04;26617
2021-08-05;38668
2021-08-06;30198
2021-08-07;41367
2021-08-08;43953
2021-08-09;43199
2021-08-10;37930
2021-08-11;47530
2021-08-12;49686
2021-08-13;45205
2021-08-14;26975
2021-08-15;26569
2021-08-16;33177
2021-08-17;44528
2021-08-18;58524
2021-08-19;66549
2021-08-20;70640
2021-08-21;62556
2021-08-22;71867
2021-08-23;64942
2021-08-24;65356
2021-08-25;67054
2021-08-26;59257
2021-08-27;35399
2021-08-28;38666
2021-08-29;30527
2021-08-30;23580
2021-08-31;18590
2021-09-01;19144
2021-09-02;18661
2021-09-03;21532
2021-09-04;28365
2021-09-05;35926
2021-09-06;36967
2021-09-07;44366
2021-09-08;59760
2021-09-09;42884
2021-09-10;27417
2021-09-11;32258
2021-09-12;44299
2021-09-13;59201
2021-09-14;56269
2021-09-15;51751
2021-09-16;56509
2021-09-17;57806
2021-09-18;49064
2021-09-19;55888
2021-09-20;74177
2021-09-21;74568
2021-09-22;71057
2021-09-23;53333
2021-09-24;29110
2021-09-25;28911
2021-09-26;27059
2021-09-27;28001
2021-09-28;29409
2021-09-29;30920
2021-09-30;30706
2021-10-01;34656
2021-10-02;27949
2021-10-03;36160
2021-10-04;42237
2021-10-05;38485
2021-10-06;44841
2021-10-07;36935
2021-10-08;37269
2021-10-09;33781
2021-10-10;29238
2021-10-11;23016
2021-10-12;22775
2021-10-13;27447
2021-10-14;31847
2021-10-15;29225
2021-10-16;27573
2021-10-17;19606
2021-10-18;9004
2021-10-19;10949
2021-10-20;15253
2021-10-21;15231
2021-10-22;13950
2021-10-23;22200
2021-10-24;9706
2021-10-25;6070
2021-10-26;9288
2021-10-27;12889
2021-10-28;15859
2021-10-29;18534
2021-10-30;16153
2021-10-31;13393
2021-11-01;6732
2021-11-02;5553
2021-11-03;9559
2021-11-04;14276
2021-11-05;11927
2021-11-06;7122
2021-11-07;5369
2021-11-08;5349
2021-11-09;4022
2021-11-10;3685
2021-11-11;4760
2021-11-12;7611
2021-11-13;10014
2021-11-14;4315
